system_name,school_name,asian,black_or_african_american,american_indian_alaska_native,native_hawaiian_pacific_islander,white,two_or_more_races,hispanic_latino,year,total_enrollment_2022,econ_disadv,foster,gen_ed,homeless,migrant,military,swd,el,econ_disadv_pct_2022,foster_pct_2022,gen_ed_pct_2022,homeless_pct_2022,migrant_pct_2022,military_pct_2022,swd_pct_2022,el_pct_2022,asian_pct_2022,black_or_african_american_pct_2022,american_indian_alaska_native_pct_2022,native_hawaiian_pacific_islander_pct_2022,white_pct_2022,two_or_more_races_pct_2022,hispanic_latino_pct_2022,sum_pct_2022
Dallas County,JE Terry Elementary School,*,38,*,*,48,*,*,2022,94.0,59.0,,69.0,,,,25.0,,0.6276595744680851,,0.7340425531914894,,,,0.26595744680851063,,,0.40425531914893614,,,0.5106382978723404,,,
Chilton County,Jemison High School,*,26,*,*,327,37,228,2022,618.0,358.0,,549.0,,,,69.0,53.0,0.5792880258899676,,0.8883495145631068,,,,0.11165048543689321,0.08576051779935275,,0.042071197411003236,,,0.529126213592233,0.059870550161812294,0.36893203883495146,
Chambers County,Lafayette Eastside Elementary School,*,225,*,*,30,*,*,2022,266.0,177.0,,188.0,,,,78.0,,0.6654135338345865,,0.706766917293233,,,,0.2932330827067669,,,0.8458646616541353,,,0.11278195488721804,,,
Lauderdale County,Lauderdale County High School,*,56,*,*,1143,27,21,2022,1259.0,498.0,,944.0,,,,315.0,,0.39555202541699763,,0.749801429706116,,,,0.25019857029388404,,,0.04447974583002383,,,0.9078633836378078,0.021445591739475776,0.016679904686258934,
Blount County,Locust Fork High School,*,12,*,*,382,*,34,2022,433.0,185.0,,335.0,,,17.0,98.0,,0.42725173210161665,,0.7736720554272517,,,0.03926096997690531,0.22632794457274827,,,0.02771362586605081,,,0.8822170900692841,,0.07852193995381063,
Jackson County,Macedonia School,*,*,28,*,86,*,*,2022,116.0,73.0,,100.0,,,,16.0,,0.6293103448275862,,0.8620689655172413,,,,0.13793103448275862,,,,0.2413793103448276,,0.7413793103448276,,,
Tuscaloosa County,Maxwell Elementary School,*,138,*,*,323,19,52,2022,532.0,313.0,,417.0,,,,115.0,20.0,0.5883458646616542,,0.7838345864661654,,,,0.2161654135338346,0.03759398496240601,,0.2593984962406015,,,0.6071428571428571,0.03571428571428571,0.09774436090225563,
Monroe County,Monroe County High School,*,290,*,*,21,*,*,2022,319.0,186.0,,266.0,,,,53.0,,0.5830721003134797,,0.8338557993730408,,,,0.16614420062695925,,,0.9090909090909091,,,0.06583072100313479,,,
Shelby County,Montevallo Elementary School,*,177,*,*,294,*,227,2022,714.0,450.0,,589.0,45.0,,16.0,125.0,140.0,0.6302521008403361,,0.8249299719887955,0.06302521008403361,,0.022408963585434174,0.17507002801120447,0.19607843137254902,,0.24789915966386555,,,0.4117647058823529,,0.3179271708683473,
St Clair County,Moody Middle School,*,57,*,*,387,26,34,2022,514.0,263.0,,444.0,,,,70.0,18.0,0.5116731517509727,,0.8638132295719845,,,,0.13618677042801555,0.03501945525291829,,0.11089494163424124,,,0.7529182879377432,0.05058365758754864,0.06614785992217899,
Autauga County,Prattville Intermediate School,11,177,*,*,400,24,37,2022,654.0,286.0,,557.0,,,72.0,97.0,,0.43730886850152906,,0.8516819571865444,,,0.11009174311926606,0.14831804281345565,,0.016819571865443424,0.2706422018348624,,,0.6116207951070336,0.03669724770642202,0.05657492354740061,
Phenix City,Ridgecrest Elementary School,*,499,*,*,81,34,126,2022,744.0,564.0,,659.0,,,65.0,85.0,63.0,0.7580645161290323,,0.885752688172043,,,0.08736559139784947,0.11424731182795698,0.0846774193548387,,0.6706989247311828,,,0.10887096774193548,0.0456989247311828,0.1693548387096774,
Lee County,Smiths Station Junior High School,*,169,*,*,613,66,64,2022,917.0,397.0,,720.0,,,69.0,197.0,14.0,0.43293347873500543,,0.7851690294438386,,,0.0752453653217012,0.2148309705561614,0.015267175572519083,,0.18429661941112324,,,0.6684841875681571,0.07197382769901854,0.0697928026172301,
Covington County,Straughn Elementary School,*,14,*,*,552,*,*,2022,587.0,317.0,,481.0,,,,106.0,,0.5400340715502555,,0.8194207836456558,,,,0.18057921635434412,,,0.02385008517887564,,,0.9403747870528109,,,
